text,predicted_label,confidence,correct
:(,Positive,0.6447206735610962,False
I'm really pissed about the gouv,Negative,0.820580244064331,True
I'm really pissed but i'm so in love,Positive,0.6022180318832397,True
i'm so in love but still pissed,Negative,0.8024564981460571,True
test,Positive,0.5000865459442139,False
test,Positive,0.5000865459442139,True
testtest,Positive,0.7688211798667908,True
hello,Positive,0.8677555918693542,True
hello my old friend,Positive,0.8751426339149475,True
testtest,Positive,0.7688211798667908,True
hellohello,Positive,0.8580381870269775,False
test test test,Positive,0.7712279558181763,False
test test test,Positive,0.7712279558181763,False
testtesttest,Positive,0.8060756921768188,False
testtesttest,Positive,0.8060756921768188,True
testtesttest,Positive,0.8060756921768188,False
testaaaa,Positive,0.6708428263664246,False
testaaaa,Positive,0.6708428263664246,True
testaaaa,Positive,0.6708428263664246,True
testaaaa,Positive,0.6708428263664246,False
testaaaa,Positive,0.6708428263664246,False
testaaaa,Positive,0.6708428263664246,False
testaaaa,Positive,0.6708428263664246,False
testaaaa,Positive,0.6708428263664246,True
testaaaa,Positive,0.6708428263664246,True
testaaaa,Positive,0.6708428263664246,True
testaaaa,Positive,0.6708428263664246,True
testaaaa,Positive,0.6708428263664246,False
testaaaa,Positive,0.6708428263664246,False
testaaaa,Positive,0.6708428263664246,False
testaaaa,Positive,0.6708428263664246,False
testaaaa,Positive,0.6708428263664246,False
